Year,Local_Authority_County,Code,Authority_Type,Public_FT_employees,Public_PT_employees,Public_Tot_employees,Public_Tot_employment,Private_FT_employees,Private_PT_employees,Private_Tot_employees,Private_Tot_employment,Total_FT_Employees,Total_PT_Employees,Total_Tot_employees,Total_Employment,Validation_Status,Public_Sector_Percent,Private_Sector_Percent,Public_sector_share,Private_sector_share,prev_year_employment,yoy_growth_percent
2017,Great Britain,K03000001,Aggregate,3156614,1939304,5095918,5106241,16798213,7655762,24453972,25486948,19954827,9595066,29549891,30593189,Invalid,16.69,83.31,16.69,83.31,30250152.0,1.13
2018,Great Britain,K03000001,Aggregate,3195330,1917879,5113209,5121232,16936865,7707776,24644642,25693314,20132195,9625655,29757851,30814545,Invalid,16.62,83.38,16.62,83.38,30593189.0,0.72
2019,Great Britain,K03000001,Aggregate,3228596,1912470,5141066,5150984,17160460,7777465,24937926,25936586,20389056,9689936,30078992,31087571,Invalid,16.57,83.43,16.57,83.43,30814545.0,0.89
2009,Greenwich,E09000011,Local Authority,13650,7076,20726,20742,30675,15857,46533,48461,44325,22933,67258,69203,Invalid,29.97,70.03,29.97,70.03,,N/A
2010,Greenwich,E09000011,Local Authority,14498,7120,21619,21701,29414,16873,46285,48000,43912,23994,67904,69701,Invalid,31.13,68.87,31.13,68.87,69203.0,0.72
2011,Greenwich,E09000011,Local Authority,14484,8000,22484,22572,29250,17171,46421,48612,43734,25170,68905,71184,Invalid,31.71,68.29,31.71,68.29,69701.0,2.13
2012,Greenwich,E09000011,Local Authority,12335,7381,19716,19719,30989,18753,49742,51657,43324,26134,69458,71376,Valid,27.63,72.37,27.63,72.37,71184.0,0.27
2013,Greenwich,E09000011,Local Authority,13065,7374,20439,20442,33089,19215,52303,54061,46153,26589,72742,74503,Invalid,27.44,72.56,27.44,72.56,71376.0,4.38
2014,Greenwich,E09000011,Local Authority,12320,8205,20525,20527,33524,19573,53097,54667,45843,27779,73622,75194,Valid,27.3,72.7,27.3,72.7,74503.0,0.93
2015,Greenwich,E09000011,Local Authority,12794,8977,21771,21775,36370,21751,58121,60114,49164,30727,79891,81889,Invalid,26.59,73.41,26.59,73.41,75194.0,8.9
2016,Greenwich,E09000011,Local Authority,12341,8042,20383,20390,37413,21308,58721,60270,49754,29350,79104,80660,Valid,25.28,74.72,25.28,74.72,81889.0,-1.5
2017,Greenwich,E09000011,Local Authority,12914,8700,21614,21620,39079,24281,63360,65512,51993,32981,84973,87132,Invalid,24.81,75.19,24.81,75.19,80660.0,8.02
2018,Greenwich,E09000011,Local Authority,13016,8659,21675,21683,39574,23163,62736,64722,52590,31821,84411,86405,Invalid,25.09,74.91,25.09,74.91,87132.0,-0.83
2019,Greenwich,E09000011,Local Authority,13073,9145,22218,22230,39651,23744,63395,64792,52724,32889,85613,87022,Valid,25.55,74.45,25.55,74.45,86405.0,0.71
2009,Hackney,E09000012,Local Authority,12283,5354,17637,17796,48409,19609,68018,70748,60692,24963,85655,88544,Valid,20.1,79.9,20.1,79.9,,N/A
2010,Hackney,E09000012,Local Authority,13660,5245,18905,18954,48539,18103,66640,69532,62199,23348,85545,88486,Invalid,21.42,78.58,21.42,78.58,88544.0,-0.07
2011,Hackney,E09000012,Local Authority,13451,5263,18714,18843,50363,20766,71129,74882,63814,26029,89843,93725,Valid,20.1,79.9,20.1,79.9,88486.0,5.92
2012,Hackney,E09000012,Local Authority,11820,5301,17121,17245,51221,22002,73223,76637,63041,27303,90344,93882,Valid,18.37,81.63,18.37,81.63,93725.0,0.17
2013,Hackney,E09000012,Local Authority,10809,3106,13915,14737,54881,21034,75915,80100,65690,24140,89830,94837,Valid,15.54,84.46,15.54,84.46,93882.0,1.02
2014,Hackney,E09000012,Local Authority,13635,5552,19187,19191,60834,22457,83291,86959,74469,28009,102478,106150,Valid,18.08,81.92,18.08,81.92,94837.0,11.93
2015,Hackney,E09000012,Local Authority,14244,5430,19674,19724,65585,23396,88981,93238,79829,28826,108654,112962,Invalid,17.46,82.54,17.46,82.54,106150.0,6.42
2016,Hackney,E09000012,Local Authority,13567,5274,18841,18864,75805,26811,102616,105998,89372,32085,121457,124861,Valid,15.11,84.89,15.11,84.89,112962.0,10.53
2017,Hackney,E09000012,Local Authority,13599,5452,19052,19076,73492,27163,100655,104267,87091,32615,119706,123343,Invalid,15.47,84.53,15.47,84.53,124861.0,-1.22
2018,Hackney,E09000012,Local Authority,13813,4222,18035,18061,78293,29473,107766,110887,92106,33695,125801,128948,Valid,14.01,85.99,14.01,85.99,123343.0,4.54
2019,Hackney,E09000012,Local Authority,13845,4008,17853,17882,83091,29568,112659,115490,96935,33576,130512,133372,Invalid,13.41,86.59,13.41,86.59,128948.0,3.43
2009,Hammersmith and Fulham,E09000013,Local Authority,23615,4352,27967,28137,63193,26903,90096,92401,86808,31255,118063,120538,Valid,23.34,76.66,23.34,76.66,,N/A
2010,Hammersmith and Fulham,E09000013,Local Authority,26035,4354,30389,30433,67176,27970,95141,97605,93211,32324,125530,128039,Invalid,23.77,76.23,23.77,76.23,120538.0,6.22
2011,Hammersmith and Fulham,E09000013,Local Authority,23320,3789,27110,27115,67151,28163,95314,98182,90471,31952,122424,125297,Invalid,21.64,78.36,21.64,78.36,128039.0,-2.14
2012,Hammersmith and Fulham,E09000013,Local Authority,22564,3697,26260,26353,70503,30381,100884,103908,93066,34077,127144,130260,Invalid,20.23,79.77,20.23,79.77,125297.0,3.96
2013,Hammersmith and Fulham,E09000013,Local Authority,18521,3290,21810,21839,71372,33989,105361,108428,89893,37278,127171,130267,Invalid,16.76,83.24,16.76,83.24,130260.0,0.01
2014,Hammersmith and Fulham,E09000013,Local Authority,18275,3168,21443,21456,72791,33648,106439,108970,91066,36816,127882,130426,Valid,16.45,83.55,16.45,83.55,130267.0,0.12
2015,Hammersmith and Fulham,E09000013,Local Authority,17729,3277,21006,21062,79464,34098,113562,116536,97194,37374,134568,137598,Valid,15.31,84.69,15.31,84.69,130426.0,5.5
2016,Hammersmith and Fulham,E09000013,Local Authority,17135,3168,20303,20400,81173,35841,117014,119090,98309,39009,137318,139490,Invalid,14.62,85.38,14.62,85.38,137598.0,1.38
2017,Hammersmith and Fulham,E09000013,Local Authority,17142,3527,20669,20741,80464,34103,114566,116838,97606,37630,135235,137579,Invalid,15.08,84.92,15.08,84.92,139490.0,-1.37
2018,Hammersmith and Fulham,E09000013,Local Authority,18127,3177,21304,21380,80568,35539,116107,117964,98695,38716,137411,139345,Valid,15.34,84.66,15.34,84.66,137579.0,1.28
2019,Hammersmith and Fulham,E09000013,Local Authority,18415,3318,21733,21829,80973,33859,114832,116629,99388,37177,136565,138458,Valid,15.77,84.23,15.77,84.23,139345.0,-0.64
